tragiss;tragis
smkn;semakin
ngerii;ngeri
sepiiii;sepi
manggdu;mangga_dua
psr;pasar
empathylah;empatilah
pjk;pajak
mirissssss;miris
turu;turun
nga;tidak
batatalkan;batalkan
kpada;kepada
keperpihakan;keberpihakan
biyaya;biaya
dibengkkan;dibengkakkan
semuq;smua
tumah;rumah
ato;atau
aje;saja
bgt;banget
klarikasi;klarifikasi
lgeg;langsung
telor;telur
ni;ini
sebelumm;sebelum
amnesty;amnesti
nasbung;nasi_bungkus
namya;namanya
masarakiat;masyarakat
pad;pada
iyahh;iya
sbntar;sebentar
muter;mutar
masng;masing
kick;tendang
jjur;jujur
taken;ambil
sorry;maaf
corup;korup
sndiri;sendiri
bundir;bunuh_diri
mrk;mereka
dead;mati
pungli;pungutan_liar
dpr;dewan_perwakilan_rakyat
mbg;makan_bergizi_gratis
padahl;padahal
setujuuuu;setuju
suliiitt;sulit
rakyatttt;rakyat
and;dan
kompanye;kampanye
byk;banyak
darimanaaaaa;darimana
berfikir;berpikir
gag;tidak
sbanyak;sebanyak
rcn;rencana
taun;tahun
skrang;sekarang
prank;jebak
bsa;bisa
walau;walaupun
keniqmatan;kenikmatan
dg;dengan
py;punya
dngr;dengar
akn;akan
sbb;sebab
domino;domino_effect
masy;masyarakat
oligarkhi;oligarki
tereak;teriak
basm;basmi
rakya;rakyat
trpurukk;terpuruk
cma;hanya
vidio;video
newah;mewah
kna;kena
besaaaarrr;besar
kmana;kemana
kran;keran
koment;komentar
dngn;dengan
list;daftar
pnting;penting
tiap;setiap
kmarin;kemarin
mslah;masalah
hancurhancuran;hancur 
dlu;dulu
pda;pada
mibil;mobil
